i,w,x,w1,x1,DIF
23,eólicas,ADJ,eólicas,ADJ,True
24,e,CCONJ,e,CCONJ,True
25,turbinas,NOUN,turbinas,NOUN,True
26,de,ADP,de,ADP,True
27,hidrelétricas,NOUN,hidrelétricas,NOUN,True
28,",",PUNCT,",",PUNCT,True
29,o,DET,o,DET,True
30,hidrogênio,NOUN,hidrogênio,NOUN,True
31-32,torna-se,_,torna-se,_,True
31,torna,VERB,torna,VERB,True
32,se,PRON,se,PRON,True
33,um,DET,um,DET,True
34,combustível,NOUN,combustível,NOUN,True
35,renovável,ADJ,renovável,ADJ,True
36,e,CCONJ,e,CCONJ,True
37,ecologicamente,ADV,ecologicamente,ADV,True
38,correto,ADJ,correto,ADJ,True
39,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Quando,SCONJ,Quando,SCONJ,True
2,queimado,VERB,queimado,VERB,True
3,com,ADP,com,ADP,True
4,oxigênio,NOUN,oxigênio,NOUN,True
5,puro,ADJ,puro,ADJ,True
6,",",PUNCT,",",PUNCT,True
7,os,DET,os,DET,True
8,únicos,ADJ,únicos,ADJ,True
9,produtos,NOUN,produtos,NOUN,True
10,são,AUX,são,AUX,True
11,calor,NOUN,calor,NOUN,True
12,e,CCONJ,e,CCONJ,True
13,água,NOUN,água,NOUN,True
14,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Quando,SCONJ,Quando,SCONJ,True
2,queimado,VERB,queimado,VERB,True
3,com,ADP,com,ADP,True
4,ar,NOUN,ar,NOUN,True
5,",",PUNCT,",",PUNCT,True
6,constituído,VERB,constituído,VERB,True
7,por,ADP,por,ADP,True
8,cerca,ADV,cerca,ADV,True
9,de,ADP,de,ADP,True
10,68%,NUM,68%,NUM,True
11,de,ADP,de,ADP,True
12,nitrogênio,NOUN,nitrogênio,NOUN,True
13,",",PUNCT,",",PUNCT,True
14,alguns,DET,alguns,DET,True
15,óxidos,NOUN,óxidos,NOUN,True
16,de,ADP,de,ADP,True
17,nitrogênio,NOUN,nitrogênio,NOUN,True
18,(,PUNCT,(,PUNCT,True
19,NOx,PROPN,NOx,PROPN,True
20,),PUNCT,),PUNCT,True
21,são,AUX,são,AUX,True
22,formados,VERB,formados,VERB,True
23,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Ainda,ADV,Ainda,ADV,True
2,assim,ADV,assim,ADV,True
3,",",PUNCT,",",PUNCT,True
4,a,DET,a,DET,True
5,queima,NOUN,queima,NOUN,True
6,de,ADP,de,ADP,True
7,hidrogênio,NOUN,hidrogênio,NOUN,True
8,produz,VERB,produz,VERB,True
9,menos,DET,menos,ADV,False
10,poluentes,NOUN,poluentes,NOUN,True
11,atmosféricos,ADJ,atmosféricos,ADJ,True
12,que,PRON,que,SCONJ,False
13,os,DET,os,DET,True
14,combustíveis,NOUN,combustíveis,NOUN,True
15,fósseis,ADJ,fósseis,ADJ,True
16,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1-2,Numa,_,Numa,_,True
1,Em,ADP,Em,ADP,True
2,uma,DET,uma,DET,True
3,célula,NOUN,célula,NOUN,True
4,a,ADP,a,ADP,True
5,combustível,NOUN,combustível,NOUN,True
6,",",PUNCT,",",PUNCT,True
7,a,DET,a,DET,True
8,utilização,NOUN,utilização,NOUN,True
9-10,do,_,do,_,True
9,de,ADP,de,ADP,True
10,o,DET,o,DET,True
11,hidrogênio,NOUN,hidrogênio,NOUN,True
12,puro,ADJ,puro,ADJ,True
13,traz,VERB,traz,VERB,True
14,vantagens,NOUN,vantagens,NOUN,True
15,como,ADV,como,ADP,False
16,por,ADP,por,ADP,True
17,exemplo,NOUN,exemplo,NOUN,True
18,:,PUNCT,:,PUNCT,True
19,não,ADV,não,ADV,True
20,necessitar,VERB,necessitar,VERB,True
21,de,ADP,de,ADP,True
22,reformadores,NOUN,reformadores,NOUN,True
23,(,PUNCT,(,PUNCT,True
24,equipamento,NOUN,equipamento,NOUN,True
25,utilizado,VERB,utilizado,VERB,True
26,para,SCONJ,para,SCONJ,True
27,extrair,VERB,extrair,VERB,True
28,o,DET,o,DET,True
29,hidrogênio,NOUN,hidrogênio,NOUN,True
30,de,ADP,de,ADP,True
31,uma,DET,uma,DET,True
32,fonte,NOUN,fonte,NOUN,True
33,",",PUNCT,",",PUNCT,True
34,tal,ADV,tal,ADP,False
35,como,ADP,como,ADP,True
36,o,DET,o,DET,True
37,gás,NOUN,gás,NOUN,True
38,natural,ADJ,natural,ADJ,True
39,),PUNCT,),PUNCT,True
40,",",PUNCT,",",PUNCT,True
41,diminuindo,VERB,diminuindo,VERB,True
42,o,DET,o,DET,True
43,tamanho,NOUN,tamanho,NOUN,True
44,e,CCONJ,e,CCONJ,True
45,custo,NOUN,custo,NOUN,True
46-47,do,_,do,_,True
46,de,ADP,de,ADP,True
47,o,DET,o,DET,True
48,sistema,NOUN,sistema,NOUN,True
49,",",PUNCT,",",PUNCT,True
50,além,ADV,além,ADV,True
51,de,ADP,de,ADP,True
52,não,ADV,não,ADV,True
53,contaminar,VERB,contaminar,VERB,True
54,as,DET,as,DET,True
55,membranas,NOUN,membranas,NOUN,True
56,e,CCONJ,e,CCONJ,True
57,eletrodos,NOUN,eletrodos,NOUN,True
58,que,PRON,que,PRON,True
59,são,AUX,são,AUX,True
60,sensíveis,ADJ,sensíveis,ADJ,True
61,a,ADP,a,ADP,True
62,alguns,DET,alguns,DET,True
63,compostos,NOUN,compostos,NOUN,True
64,ou,CCONJ,ou,CCONJ,True
65,subprodutos,NOUN,subprodutos,NOUN,True
66,reacionais,ADJ,reacionais,ADJ,True
67,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Dentre,ADP,Dentre,ADP,True
2,os,DET,os,DET,True
3,principais,ADJ,principais,ADJ,True
4,combustíveis,NOUN,combustíveis,NOUN,True
5,fósseis,ADJ,fósseis,ADJ,True
6,",",PUNCT,",",PUNCT,True
7,como,ADP,como,ADP,True
8,o,DET,o,DET,True
9,petróleo,NOUN,petróleo,NOUN,True
10,e,CCONJ,e,CCONJ,True
11,o,DET,o,DET,True
12,carvão,NOUN,carvão,NOUN,True
13,",",PUNCT,",",PUNCT,True
14,o,DET,o,DET,True
15,gás,NOUN,gás,NOUN,True
16,natural,ADJ,natural,ADJ,True
17,é,AUX,é,AUX,True
18,o,PRON,o,PRON,True
19,que,PRON,que,PRON,True
20,gera,VERB,gera,VERB,True
21,menores,ADJ,menores,ADJ,True
22,emissões,NOUN,emissões,NOUN,True
23,de,ADP,de,ADP,True
24,poluentes,NOUN,poluentes,NOUN,True
25,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Hoje,ADV,Hoje,ADV,True
2,",",PUNCT,",",PUNCT,True
3,aproximadamente,ADV,aproximadamente,ADV,True
4,a,DET,a,DET,True
5,metade,NOUN,metade,NOUN,True
6-7,da,_,da,_,True
6,de,ADP,de,ADP,True
7,a,DET,a,DET,True
8,produção,NOUN,produção,NOUN,True
9,de,ADP,de,ADP,True
10,hidrogênio,NOUN,hidrogênio,NOUN,True
11-12,no,_,no,_,True
11,em,ADP,em,ADP,True
12,o,DET,o,DET,True
13,mundo,NOUN,mundo,NOUN,True
14,provém,VERB,provém,VERB,True
15-16,do,_,do,_,True
15,de,ADP,de,ADP,True
16,o,DET,o,DET,True
17,gás,NOUN,gás,NOUN,True
18,natural,ADJ,natural,ADJ,True
19,",",PUNCT,",",PUNCT,True
20,e,CCONJ,e,CCONJ,True
21,a,DET,a,DET,True
22,maior,ADJ,maior,ADJ,True
23,parte,NOUN,parte,NOUN,True
24-25,da,_,da,_,True
24,de,ADP,de,ADP,True
25,a,DET,a,DET,True
26,produção,NOUN,produção,NOUN,True
27,em,ADP,em,ADP,True
28,escala,NOUN,escala,NOUN,True
29,industrial,ADJ,industrial,ADJ,True
30,é,AUX,é,VERB,False
31-32,pelo,_,pelo,_,True
31,por,ADP,por,ADP,True
32,o,DET,o,DET,True
33,processo,NOUN,processo,NOUN,True
34,de,ADP,de,ADP,True
35,reforma,NOUN,reforma,NOUN,True
36,a,ADP,a,ADP,True
37,vapor,NOUN,vapor,NOUN,True
38,",",PUNCT,",",PUNCT,True
39,ou,CCONJ,ou,CCONJ,True
40,como,ADP,como,ADV,False
41,um,DET,um,DET,True
42,subproduto,NOUN,subproduto,NOUN,True
43-44,do,_,do,_,True
43,de,ADP,de,ADP,True
44,o,DET,o,DET,True
45,refino,NOUN,refino,NOUN,True
46,de,ADP,de,ADP,True
47,petróleo,NOUN,petróleo,NOUN,True
48,e,CCONJ,e,CCONJ,True
49,produção,NOUN,produção,NOUN,True
50,de,ADP,de,ADP,True
51,compostos,NOUN,compostos,NOUN,True
52,químicos,ADJ,químicos,ADJ,True
53,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Para,SCONJ,Para,SCONJ,True
2,ser,AUX,ser,AUX,True
3,utilizado,VERB,utilizado,VERB,True
4-5,numa,_,numa,_,True
4,em,ADP,em,ADP,True
5,uma,DET,uma,DET,True
6,célula,NOUN,célula,NOUN,True
7,a,ADP,a,ADP,True
8,combustível,NOUN,combustível,NOUN,True
9,",",PUNCT,",",PUNCT,True
10,o,DET,o,DET,True
11,gás,NOUN,gás,NOUN,True
12,natural,ADJ,natural,ADJ,True
13,passa,VERB,passa,VERB,True
14-15,pelo,_,pelo,_,True
14,por,ADP,por,ADP,True
15,o,DET,o,DET,True
16,processo,NOUN,processo,NOUN,True
17,de,ADP,de,ADP,True
18,reforma,NOUN,reforma,NOUN,True
19,para,ADP,para,ADP,True
20,a,DET,a,DET,True
21,obtenção,NOUN,obtenção,NOUN,True
22-23,do,_,do,_,True
22,de,ADP,de,ADP,True
23,o,DET,o,DET,True
24,hidrogênio,NOUN,hidrogênio,NOUN,True
25,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,O,DET,O,DET,True
2,processo,NOUN,processo,NOUN,True
3,extrai,VERB,extrai,VERB,True
4,os,DET,os,DET,True
5,átomos,NOUN,átomos,NOUN,True
6,de,ADP,de,ADP,True
7,hidrogênio,NOUN,hidrogênio,NOUN,True
8,",",PUNCT,",",PUNCT,True
9,deixando,VERB,deixando,VERB,True
10,o,DET,o,DET,True
11,dióxido,NOUN,dióxido,NOUN,True
12,de,ADP,de,ADP,True
13,carbono,NOUN,carbono,NOUN,True
14,como,ADP,como,ADP,True
15,subproduto,NOUN,subproduto,NOUN,True
16,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Este,DET,Este,DET,True
2,processo,NOUN,processo,NOUN,True
3-4,realiza-se,_,realiza-se,_,True
3,realiza,VERB,realiza,VERB,True
4,se,PRON,se,PRON,True
5,em,ADP,em,ADP,True
6,duas,NUM,duas,NUM,True
7,etapas,NOUN,etapas,NOUN,True
8,:,PUNCT,:,PUNCT,True
9,(,PUNCT,(,PUNCT,True
10,i,PROPN,i,SYM,False
11,),PUNCT,),PUNCT,True
12,A,DET,A,DET,True
13,reação,NOUN,reação,NOUN,True
14,decompõe,VERB,decompõe,VERB,True
15,o,DET,o,DET,True
16,combustível,NOUN,combustível,NOUN,True
17,em,ADP,em,ADP,True
18,água,NOUN,água,NOUN,True
19,e,CCONJ,e,CCONJ,True
20,monóxido,NOUN,monóxido,NOUN,True
21,de,ADP,de,ADP,True
22,carbono,NOUN,carbono,NOUN,True
23,;,PUNCT,;,PUNCT,True
24,(,PUNCT,(,PUNCT,True
25,ii,ADJ,ii,SYM,False
26,),PUNCT,),PUNCT,True
27,O,DET,O,DET,True
28,monóxido,NOUN,monóxido,NOUN,True
29,de,ADP,de,ADP,True
30,carbono,NOUN,carbono,NOUN,True
31,e,CCONJ,e,CCONJ,True
32,a,DET,a,DET,True
33,água,NOUN,água,NOUN,True
34,são,AUX,são,AUX,True
35,convertidos,VERB,convertidos,VERB,True
36,em,ADP,em,ADP,True
37,dióxido,NOUN,dióxido,NOUN,True
38,de,ADP,de,ADP,True
39,carbono,NOUN,carbono,NOUN,True
40,e,CCONJ,e,CCONJ,True
41,hidrogênio,NOUN,hidrogênio,NOUN,True
42,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Estas,DET,Estas,DET,True
2,reações,NOUN,reações,NOUN,True
3,ocorrem,VERB,ocorrem,VERB,True
4,em,ADP,em,ADP,True
5,temperaturas,NOUN,temperaturas,NOUN,True
6,de,ADP,de,ADP,True
7,200ºC,ADJ,200ºC,NUM,False
8,ou,CCONJ,ou,CCONJ,True
9,maiores,ADJ,maiores,ADJ,True
10,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Em,ADP,Em,ADP,True
2,células,NOUN,células,NOUN,True
3,a,ADP,a,ADP,True
4,combustível,NOUN,combustível,NOUN,True
5,de,ADP,de,ADP,True
6,óxido,NOUN,óxido,NOUN,True
7,sólido,ADJ,sólido,ADJ,True
8,(,PUNCT,(,PUNCT,True
9,SOFC,PROPN,SOFC,PROPN,True
10,),PUNCT,),PUNCT,True
11,ou,CCONJ,ou,CCONJ,True
12,carbonato,NOUN,carbonato,NOUN,True
13,fundido,VERB,fundido,ADJ,False
14,(,PUNCT,(,PUNCT,True
15,MCFC,PROPN,MCFC,PROPN,True
16,),PUNCT,),PUNCT,True
17,",",PUNCT,",",PUNCT,True
18,a,DET,a,DET,True
19,reforma,NOUN,reforma,NOUN,True
20,a,ADP,a,ADP,True
21,vapor,NOUN,vapor,NOUN,True
22,ocorre,VERB,ocorre,VERB,True
23,internamente,ADV,internamente,ADV,True
24,devido,ADV,devido,ADP,False
25-26,à,_,à,_,True
25,a,ADP,a,ADP,True
26,a,DET,a,DET,True
27,alta,ADJ,alta,ADJ,True
28,temperatura,NOUN,temperatura,NOUN,True
29,–,PUNCT,–,PUNCT,True
30,entre,ADP,entre,ADP,True
31,600°C,NUM,600°C,NUM,True
32,e,CCONJ,e,CCONJ,True
33,1000°C,NUM,1000°C,NUM,True
34,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,O,DET,O,DET,True
2,catalisador,NOUN,catalisador,NOUN,True
3,a,ADP,a,ADP,True
4,esta,DET,esta,DET,True
5,temperatura,NOUN,temperatura,NOUN,True
6,pode,VERB,pode,VERB,True
7,ser,AUX,ser,AUX,True
8,o,DET,o,DET,True
9,níquel,NOUN,níquel,NOUN,True
10,",",PUNCT,",",PUNCT,True
11,mais,ADV,mais,ADV,True
12,barato,ADJ,barato,ADJ,True
13,que,SCONJ,que,SCONJ,True
14,a,DET,a,DET,True
15,platina,NOUN,platina,NOUN,True
16,",",PUNCT,",",PUNCT,True
17,pois,SCONJ,pois,CCONJ,False
18-19,nesta,_,nesta,_,True
18,em,ADP,em,ADP,True
19,esta,DET,esta,DET,True
20,temperatura,NOUN,temperatura,NOUN,True
21,as,DET,as,DET,True
22,reações,NOUN,reações,NOUN,True
23,de,ADP,de,ADP,True
24,catálise,NOUN,catálise,NOUN,True
25,ocorrem,VERB,ocorrem,VERB,True
26,mais,ADV,mais,ADV,True
27,facilmente,ADV,facilmente,ADV,True
28,dispensando,VERB,dispensando,VERB,True
29,um,DET,um,DET,True
30,catalisador,NOUN,catalisador,NOUN,True
31,de,ADP,de,ADP,True
32,altíssima,ADJ,altíssima,ADJ,True
33,taxa,NOUN,taxa,NOUN,True
34,de,ADP,de,ADP,True
35,reações,NOUN,reações,NOUN,True
36,e,CCONJ,e,CCONJ,True
37,caro,ADJ,caro,ADJ,True
38,como,ADP,como,SCONJ,False
39,a,DET,a,DET,True
40,platina,NOUN,platina,NOUN,True
41,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Este,DET,Este,DET,True
2,sistema,NOUN,sistema,NOUN,True
3,para,ADP,para,ADP,True
4,produção,NOUN,produção,NOUN,True
5,de,ADP,de,ADP,True
6,hidrogênio,NOUN,hidrogênio,NOUN,True
7,não,ADV,não,ADV,True
8,é,AUX,é,AUX,True
9,considerado,VERB,considerado,VERB,True
10,ecologicamente,ADV,ecologicamente,ADV,True
11,correto,ADJ,correto,ADJ,True
12,",",PUNCT,",",PUNCT,True
13,devido,ADV,devido,ADV,True
14-15,às,_,às,_,True
14,a,ADP,a,ADP,True
15,as,DET,as,DET,True
16,emissões,NOUN,emissões,NOUN,True
17,de,ADP,de,ADP,True
18,CO2,PROPN,CO2,PROPN,True
19,",",PUNCT,",",PUNCT,True
20,que,PRON,que,PRON,True
21,contribuem,VERB,contribuem,VERB,True
22,para,ADP,para,ADP,True
23,o,DET,o,DET,True
24,aumento,NOUN,aumento,NOUN,True
25-26,do,_,do,_,True
25,de,ADP,de,ADP,True
26,o,DET,o,DET,True
27,efeito,NOUN,efeito,NOUN,True
28,estufa,ADJ,estufa,NOUN,False
29,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,O,DET,O,DET,True
2,metanol,NOUN,metanol,NOUN,True
3,é,AUX,é,AUX,True
4,convertido,VERB,convertido,VERB,True
5,em,ADP,em,ADP,True
6,dióxido,NOUN,dióxido,NOUN,True
7,de,ADP,de,ADP,True
8,carbono,NOUN,carbono,NOUN,True
9,e,CCONJ,e,CCONJ,True
10,hidrogênio,NOUN,hidrogênio,NOUN,True
11-12,no,_,no,_,True
11,em,ADP,em,ADP,True
12,o,DET,o,DET,True
13,anodo,NOUN,anodo,NOUN,True
14,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Os,DET,Os,DET,True
2,prótons,NOUN,prótons,NOUN,True
3,gerados,VERB,gerados,VERB,True
4-5,na,_,na,_,True
4,em,ADP,em,ADP,True
5,a,DET,a,DET,True
6,oxidação,NOUN,oxidação,NOUN,True
7-8,do,_,do,_,True
7,de,ADP,de,ADP,True
8,o,DET,o,DET,True
9,metanol,NOUN,metanol,NOUN,True
10,atravessam,VERB,atravessam,VERB,True
11,a,DET,a,DET,True
12,membrana,NOUN,membrana,NOUN,True
13,até,SCONJ,até,SCONJ,True
14,reagir,VERB,reagir,VERB,True
15,com,ADP,com,ADP,True
16,o,DET,o,DET,True
17,oxigênio,NOUN,oxigênio,NOUN,True
18,para,SCONJ,para,SCONJ,True
19,formar,VERB,formar,VERB,True
20,água,NOUN,água,NOUN,True
21,",",PUNCT,",",PUNCT,True
22,seguindo,VERB,seguindo,VERB,True
23,uma,DET,uma,DET,True
24,reação,NOUN,reação,NOUN,True
25,semelhante,ADJ,semelhante,ADJ,True
26-27,àquela,_,àquela,_,True
26,a,ADP,a,ADP,True
27,aquela,PRON,aquela,PRON,True
28,que,PRON,que,PRON,True
29,ocorre,VERB,ocorre,VERB,True
30,em,ADP,em,ADP,True
31,uma,DET,uma,DET,True
32,PEMFC,PROPN,PEMFC,PROPN,True
33,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,As,DET,As,DET,True
2,DMFC,PROPN,DMFC,PROPN,True
3,não,ADV,não,ADV,True
4,tem,VERB,tem,VERB,True
5,muitos,DET,muitos,DET,True
6-7,dos,_,dos,_,True
6,de,ADP,de,ADP,True
7,os,DET,os,DET,True
8,problemas,NOUN,problemas,NOUN,True
9,de,ADP,de,ADP,True
10,armazenamento,NOUN,armazenamento,NOUN,True
11,típicos,ADJ,típicos,ADJ,True
12,de,ADP,de,ADP,True
13,outras,DET,outras,DET,True
14,tecnologias,NOUN,tecnologias,NOUN,True
15,",",PUNCT,",",PUNCT,True
16,pois,SCONJ,pois,SCONJ,True
17,o,DET,o,DET,True
18,metanol,NOUN,metanol,NOUN,True
19,tem,VERB,tem,VERB,True
20,uma,DET,uma,DET,True
21,densidade,NOUN,densidade,NOUN,True
22,de,ADP,de,ADP,True
23,energia,NOUN,energia,NOUN,True
24,aproveitável,ADJ,aproveitável,ADJ,True
25,maior,ADJ,maior,ADJ,True
26,que,PRON,que,SCONJ,False
27,a,ADP,a,PRON,False
28-29,do,_,do,_,True
28,de,ADP,de,ADP,True
29,o,DET,o,DET,True
30,hidrogênio,NOUN,hidrogênio,NOUN,True
31,",",PUNCT,",",PUNCT,True
32,embora,SCONJ,embora,SCONJ,True
33,menor,ADJ,menor,ADJ,True
34,que,SCONJ,que,SCONJ,True
35,a,PRON,a,PRON,True
36-37,da,_,da,_,True
36,de,ADP,de,ADP,True
37,a,DET,a,DET,True
38,gasolina,NOUN,gasolina,NOUN,True
39,ou,CCONJ,ou,CCONJ,True
40,diesel,NOUN,diesel,NOUN,True
41,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,O,DET,O,DET,True
2,metanol,NOUN,metanol,NOUN,True
3,também,ADV,também,ADV,True
4,é,AUX,é,AUX,True
5,mais,ADV,mais,ADV,True
6,fácil,ADJ,fácil,ADJ,True
7,de,SCONJ,de,SCONJ,True
8,transportar,VERB,transportar,VERB,True
9,e,CCONJ,e,CCONJ,True
10,fornecer,VERB,fornecer,VERB,True
11,para,ADP,para,ADP,True
12,o,DET,o,DET,True
13,mercado,NOUN,mercado,NOUN,True
14,",",PUNCT,",",PUNCT,True
15,pois,SCONJ,pois,CCONJ,False
16,pode,VERB,pode,VERB,True
17,utilizar,VERB,utilizar,VERB,True
18,a,DET,a,DET,True
19,corrente,ADJ,corrente,NOUN,False
20,infra-estrutura,NOUN,infra-estrutura,NOUN,True
21,por,SCONJ,por,SCONJ,True
22,ser,AUX,ser,AUX,True
23,um,DET,um,DET,True
24,combustível,NOUN,combustível,NOUN,True
25,líquido,ADJ,líquido,ADJ,True
26,",",PUNCT,",",PUNCT,True
27,como,ADP,como,ADV,False
28,a,DET,a,DET,True
29,gasolina,NOUN,gasolina,NOUN,True
30,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Estas,DET,Estas,DET,True
2,células,NOUN,células,NOUN,True
3,operam,VERB,operam,VERB,True
4,em,ADP,em,ADP,True
5,temperaturas,NOUN,temperaturas,NOUN,True
6,entre,ADP,entre,ADP,True
7,120,NUM,120,NUM,True
8,e,CCONJ,e,CCONJ,True
9,130°C,NUM,130°C,NUM,True
10,e,CCONJ,e,CCONJ,True
11,atingem,VERB,atingem,VERB,True
12,uma,DET,uma,DET,True
13,eficiência,NOUN,eficiência,NOUN,True
14,de,ADP,de,ADP,True
15,aproximadamente,ADV,aproximadamente,ADV,True
16,40%,NUM,40%,NUM,True
17,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,A,DET,A,DET,True
2,desvantagem,NOUN,desvantagem,NOUN,True
3,é,VERB,é,VERB,True
4,que,SCONJ,que,SCONJ,True
5,a,DET,a,DET,True
6,baixa,ADJ,baixa,ADJ,True
7,temperatura,NOUN,temperatura,NOUN,True
8,de,ADP,de,ADP,True
9,conversão,NOUN,conversão,NOUN,True
10-11,do,_,do,_,True
10,de,ADP,de,ADP,True
11,o,DET,o,DET,True
12,metanol,NOUN,metanol,NOUN,True
13,para,ADP,para,ADP,True
14,hidrogênio,NOUN,hidrogênio,NOUN,True
15,e,CCONJ,e,CCONJ,True
16,dióxido,NOUN,dióxido,NOUN,True
17,de,ADP,de,ADP,True
18,carbono,NOUN,carbono,NOUN,True
19,precisa,VERB,precisa,VERB,True
20,de,ADP,de,ADP,True
21,uma,DET,uma,DET,True
22,quantidade,NOUN,quantidade,NOUN,True
23,maior,ADJ,maior,ADJ,True
24,de,ADP,de,ADP,True
25,platina,NOUN,platina,NOUN,True
26,como,ADP,como,ADP,True
27,catalisador,NOUN,catalisador,NOUN,True
28-29,do,_,do,_,True
28,de,ADP,de,ADP,True
29,o,PRON,o,PRON,True
30,que,PRON,que,PRON,True
31-32,na,_,na,_,True
31,em,ADP,em,ADP,True
32,a,DET,a,DET,True
33,PEMFC,PROPN,PEMFC,PROPN,True
34,",",PUNCT,",",PUNCT,True
35,o,PRON,o,PRON,True
36,que,PRON,que,PRON,True
37,aumenta,VERB,aumenta,VERB,True
38,o,DET,o,DET,True
39,custo,NOUN,custo,NOUN,True
40,de,ADP,de,ADP,True
41,produção,NOUN,produção,NOUN,True
42,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,O,DET,O,DET,True
2,aumento,NOUN,aumento,NOUN,True
3-4,no,_,no,_,True
3,em,ADP,em,ADP,True
4,o,DET,o,DET,True
5,custo,NOUN,custo,NOUN,True
6,é,AUX,é,AUX,True
7,",",PUNCT,",",PUNCT,True
8,entretanto,CCONJ,entretanto,CCONJ,True
9,",",PUNCT,",",PUNCT,True
10,compensado,VERB,compensado,VERB,True
11-12,pela,_,pela,_,True
11,por,ADP,por,ADP,True
12,a,DET,a,DET,True
13,praticidade,NOUN,praticidade,NOUN,True
14,de,SCONJ,de,SCONJ,True
15,utilizar,VERB,utilizar,VERB,True
16,um,DET,um,DET,True
17,combustível,NOUN,combustível,NOUN,True
18,líquido,ADJ,líquido,ADJ,True
19,e,CCONJ,e,CCONJ,True
20,de,SCONJ,de,SCONJ,True
21,não,ADV,não,ADV,True
22,necessitar,VERB,necessitar,VERB,True
23,de,ADP,de,ADP,True
24,um,DET,um,DET,True
25,reformador,NOUN,reformador,NOUN,True
26,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,A,DET,A,DET,True
2,tecnologia,NOUN,tecnologia,NOUN,True
3,existente,ADJ,existente,ADJ,True
4-5,nas,_,nas,_,True
4,em,ADP,em,ADP,True
5,as,DET,as,DET,True
6,DMFCs,PROPN,DMFCs,PROPN,True
7,ainda,ADV,ainda,ADV,True
8,está,AUX,está,AUX,True
9,em,ADP,em,ADP,True
10,início,NOUN,início,NOUN,True
11,de,ADP,de,ADP,True
12,desenvolvimento,NOUN,desenvolvimento,NOUN,True
13,mas,CCONJ,mas,CCONJ,True
14,já,ADV,já,ADV,True
15,têm,AUX,têm,AUX,True
16,demonstrado,VERB,demonstrado,VERB,True
17,sucesso,NOUN,sucesso,NOUN,True
18,em,ADP,em,ADP,True
19,aplicações,NOUN,aplicações,NOUN,True
20,em,ADP,em,ADP,True
21,telefones,NOUN,telefones,NOUN,True
22,celulares,ADJ,celulares,ADJ,True
23,e,CCONJ,e,CCONJ,True
24,laptops,NOUN,laptops,ADJ,False
25,",",PUNCT,",",PUNCT,True
26,mercados,NOUN,mercados,NOUN,True
27,potenciais,ADJ,potenciais,ADJ,True
28,para,ADP,para,ADP,True
29,esta,DET,esta,DET,True
30,tecnologia,NOUN,tecnologia,NOUN,True
31,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,As,DET,As,DET,True
2,aniônicas,NOUN,aniônicas,NOUN,True
3,vão,AUX,vão,AUX,True
4,realizar,VERB,realizar,VERB,True
5,o,DET,o,DET,True
6,transporte,NOUN,transporte,NOUN,True
7,de,ADP,de,ADP,True
8,ânions,NOUN,ânions,NOUN,True
9,e,CCONJ,e,CCONJ,True
10,as,DET,as,DET,True
11,catiônicas,NOUN,catiônicas,NOUN,True
12,",",PUNCT,",",PUNCT,True
13,de,ADP,de,ADP,True
14,cátions,NOUN,cátions,NOUN,True
15,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Este,DET,Este,DET,True
2,transporte,NOUN,transporte,NOUN,True
3,de,ADP,de,ADP,True
4,cátions,NOUN,cátions,NOUN,True
5,que,PRON,que,PRON,True
6,ocorre,VERB,ocorre,VERB,True
7-8,na,_,na,_,True
7,em,ADP,em,ADP,True
8,a,DET,a,DET,True
9,membrana,NOUN,membrana,NOUN,True
10,é,AUX,é,AUX,True
11,devido,ADV,devido,ADV,True
